290 5 29
3.21,2.44,0.77,1.22,0.66,a
3.22,2.45,0.77,1.66,0.55,a
3.22,2.45,0.99,1.44,0.55,a
3.23,2.46,0.99,1.77,0.66,a
3.2,2.46,0.99,1.66,0.33,a
3.2,2.46,0.55,1,0.88,a
3.23,2.45,0.66,1.44,0.66,a
3.26,2.46,0.66,1,0.22,a
3.25,2.46,0.22,1.88,0.55,a
3.23,2.48,0.66,1.44,0.44,a
2.27,2.38,0.99,0.88,0.44,b
2.22,2.17,0.44,0.77,0.55,b
2.38,2.48,0.88,0.99,0.88,b
1.52,2.23,0.77,0.55,0.88,b
2.58,2.24,0.66,0.77,0.66,b
2.46,2.42,0.66,0.22,1.22,b
2.44,2.53,0.77,0.11,0.66,b
2.41,2.48,0.11,0.44,0.44,b
2.4,2.5,0.33,0.44,0.77,b
2.22,2.06,0.11,0.66,0.88,b
1.55,2.44,2,2.55,2.33,c
1.54,2.44,2.66,2.99,2.88,c
1.46,2.47,2.11,2.11,2.99,c
1.48,2.51,2.33,2.99,2.44,c
1.46,2.49,2.33,2,2.99,c
1.38,2.55,2,2.22,2.55,c
1.28,2.61,2.55,2.33,2.77,c
1.27,2.59,2.33,2.22,2.99,c
1.35,2.59,2.22,2.44,2.88,c
1.42,2.55,2.44,2.11,2.66,c
2.45,4.41,3.66,1.99,2.11,d
2.77,4.44,3.77,1.33,1.99,d
2.71,4.42,3.55,1.66,1.88,d
2.79,4.42,3.44,1.33,2.33,d
2.77,4.38,3.55,1.55,2.11,d
2.82,4.41,3.88,1.22,1.77,d
2.87,4.36,3.44,1.77,2,d
2.8,4.33,3.88,1.55,1.55,d
2.74,4.34,3.77,1.66,2,d
2.6,4.37,3.77,1.11,1.77,d
3.33,2.9,1.66,2.55,0.22,e
3.33,2.92,1.88,2.55,0.22,e
3.33,3,1.77,2.55,0.22,e
3.34,2.87,1.99,2.55,0.33,e
3.37,2.98,1.44,2.77,0.22,e
3.32,2.88,1.55,2.44,0.22,e
3.39,3.02,1.55,2.55,0.33,e
3.34,2.95,1.55,2.22,0.22,e
3.33,2.98,1.77,2.22,0.11,e
3.37,3.04,1.77,2.66,0.22,e
3.84,4.63,4.44,3.77,1.55,f
3.83,4.62,4.44,3.55,1.44,f
3.8,4.58,4,3.44,1.44,f
3.83,4.65,4.22,4,1.22,f
3.85,4.69,4.77,3.66,1.66,f
3.85,4.67,4.88,3.66,1.77,f
3.83,4.48,4.77,3.77,1.33,f
3.76,4.55,4,3.55,1.55,f
3.72,4.5,4.44,3.88,1.66,f
3.75,4.53,4.44,4,1.55,f
3.08,3.38,3.88,2.44,0.22,g
3.1,3.33,3.11,2.88,0.44,g
3.12,3.46,3.33,2.22,1,g
3.11,3.22,3.22,2.66,0.99,g
3.04,3.17,3.11,2.77,0.33,g
3.05,3.28,3.22,2.88,0.66,g
3.11,3.25,3.11,2.99,0.44,g
3.15,3.35,3.88,2.55,0.33,g
3.14,3.25,3.99,2.77,0.55,g
3.16,3.33,3.77,2.99,0.44,g
1.86,3.21,2.55,0.11,0.55,h
1.19,3.17,2.77,0.22,0.55,h
1.49,3.15,2.55,0.11,0.44,h
1.22,3.12,2.99,0,0.33,h
1.4,3.11,2.88,0.11,0.33,h
1.44,3.11,2.99,0.11,0.33,h
1.54,3.16,2.88,0.22,0.33,h
1.54,3.14,2.77,0,0.22,h
1.52,3.13,2.77,0.11,0.33,h
1.62,3.13,2.22,0.11,0.44,h
2.45,3.45,2.77,1.63,0.44,i
2.6,3.77,2.55,1.62,0.55,i
2.7,3.71,2.44,1.58,0.66,i
2.56,3.79,3,1.65,0.88,i
2.5,3.77,2.66,1.69,0.66,i
2.49,3.82,2.66,1.67,0.77,i
2.55,3.87,2.77,1.48,0.66,i
2.57,3.8,2.55,1.55,0.55,i
2.5,3.74,2.88,1.5,0.77,i
2.33,3.6,3,1.53,0.88,i
2.7,3.39,3,0.11,0.33,j
2.7,3.42,3.11,0.33,0.33,j
2.74,4.42,3.11,0.33,0.55,j
2.76,3.38,3,0.33,0.55,j
2.74,3.36,3.33,0.33,0.55,j
2.74,3.33,2.99,0.33,0.66,j
2.74,3.33,2.88,0.33,0.66,j
2.78,3.33,2.88,0.33,0.77,j
2.8,3.44,2.77,0.33,0.77,j
2.8,3.45,3.22,0.44,0.77,j
3.39,3.45,0.88,1.33,2.66,k
3.48,3.6,0.44,1.44,2.77,k
3.5,3.7,0.77,1.44,2.33,k
3.49,3.56,0.66,1.55,2.88,k
3.43,3.5,0.66,1.77,2.99,k
3.5,3.49,0.66,1.88,2.77,k
3.52,3.55,0.55,1.66,2.66,k
3.5,3.57,0.66,1.55,2.55,k
3.48,3.5,0.66,1.66,2.22,k
3.47,3.33,0.55,1.33,2.77,k
3.31,2.96,1.22,0.44,1.33,l
3.28,2.9,1.22,0.77,1.55,l
3.32,2.87,1.33,0.55,1.88,l
3.28,2.88,1.66,0.88,1.66,l
3.32,2.91,1.88,0.55,1.55,l
3.27,2.79,1.66,0.88,1.88,l
3.32,2.81,1.33,0.66,1.44,l
3.25,2.73,1.99,0.99,1.77,l
3.29,2.82,1.66,0.88,1.77,l
3.25,2.69,1.44,0.77,1.66,l
2.2,4.16,1.88,1.22,0.66,m
2.28,4.26,1.33,1.33,0.99,m
2.48,4.32,1.55,1.33,0.55,m
2.45,4.25,1.66,1.99,0.66,m
2.53,4.37,1.88,1.55,0.44,m
2.45,4.26,1.33,1.44,0.55,m
2.45,4.31,1.77,1.77,0.88,m
2.46,4.37,1.66,1.66,0.88,m
2.44,4.29,1.99,1.66,0.44,m
2.48,4.38,1.77,1.22,0.55,m
3.04,3.04,0.66,2.11,1.99,n
3.12,3.01,0.88,2,1.99,n
3.06,2.84,0.99,2.55,1.88,n
3.03,3.04,0.66,2.77,1.99,n
3.05,3.03,0.77,2.44,2.22,n
3.09,3.12,1,2.77,2.44,n
3.12,3.14,1.11,2.77,2.22,n
3.09,3.12,1.22,2.66,2.77,n
